LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000183,0,1,1,1,2,2,2,3,3,4,5,5,6,7,8,8,9,10,11,12,13,14,14,15,16,16,17,17,17,17,17,17
E01000184,1,1,1,1,2,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,16,17,18,19,19,20,20,20,20,20
E01000185,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5
E01000186,1,1,2,2,2,3,3,4,5,6,7,8,9,10,12,13,14,15,17,18,19,21,22,23,24,25,26,26,26,26,26,26
E01000187,1,1,2,2,2,3,3,4,5,6,7,8,9,10,12,13,14,15,17,18,19,21,22,23,24,25,26,26,27,27,27,27
E01000188,1,1,2,2,3,3,4,5,6,7,8,9,10,11,13,14,15,17,18,20,21,23,24,25,26,27,28,29,29,29,29,29
E01000189,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
E01000190,1,1,2,2,3,3,4,5,6,7,8,9,10,11,13,14,15,17,18,20,21,23,24,25,26,27,28,29,29,29,29,29
E01000191,1,1,2,2,3,3,3,4,5,6,7,8,10,11,12,14,15,16,18,19,21,22,23,24,26,27,28,28,29,29,29,28
E01000192,1,1,1,1,2,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,16,17,18,19,20,20,20,20,20,20
E01000193,1,1,1,2,2,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22,22,22,22,22
E01000194,1,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,18,19,20,20,20,20,20
E01000195,1,1,1,2,2,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,22,22,22,22
E01000196,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8
E01000197,1,1,2,2,3,3,3,4,5,6,7,8,10,11,12,14,15,16,18,19,21,22,23,24,25,27,28,28,28,28,28,28
E01000198,1,1,2,2,2,3,3,4,5,6,7,8,9,11,12,13,15,16,17,19,20,21,23,24,25,26,27,28,28,28,28,28
E01000199,1,1,1,2,2,3,3,4,5,6,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,25,25,25,25
E01000200,1,1,2,2,3,3,3,4,5,6,7,8,10,11,12,14,15,16,18,19,20,22,23,24,25,26,27,28,28,28,28,28
E01000201,1,1,2,2,3,3,4,5,6,7,8,9,10,11,13,14,16,17,18,20,21,23,24,25,26,28,29,29,29,29,29,29
E01000202,1,1,2,2,2,3,3,4,5,6,7,8,9,11,12,13,15,16,17,19,20,21,22,23,25,26,27,27,27,27,27,27
