LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000195,0,0,1,1,1,1,1,1,1,2,2,3,5,6,7,9,10,12,13,14,16,17,19,20,21,23,23
E01000196,0,0,1,1,1,1,1,2,2,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17
E01000197,0,1,1,2,2,2,3,3,4,4,4,6,8,10,11,13,15,17,18,20,22,24,25,27,29,31,31
E01000198,0,0,0,0,0,0,0,1,1,1,1,4,6,9,11,14,16,19,22,24,27,29,32,34,37,39,39
E01000199,0,0,0,0,0,1,1,1,1,1,1,2,4,5,6,8,9,10,11,13,14,15,17,18,19,20,20
E01000200,0,1,2,2,3,3,4,4,5,5,5,9,12,16,19,23,26,29,33,36,40,43,46,50,53,56,57
E01000201,0,0,0,1,1,1,1,1,2,2,2,4,6,8,11,13,15,17,19,22,24,26,28,30,32,34,34
E01000202,0,1,1,1,2,2,3,3,3,4,4,5,7,9,11,12,14,16,17,19,21,22,24,25,27,29,29
E01000203,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,14
E01000204,0,1,1,2,2,3,3,4,5,5,5,7,8,10,11,13,14,15,17,18,20,21,23,24,25,27,27
E01000205,0,0,0,1,1,1,1,1,1,1,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22,24,24
E01000206,0,0,0,1,1,1,1,1,1,2,2,3,5,7,9,11,12,14,16,18,20,21,23,25,27,28,28
E01000207,0,0,0,1,1,1,1,1,2,2,2,3,5,7,9,11,13,14,16,18,20,22,23,25,27,29,29
E01000208,0,0,0,0,0,0,0,0,1,1,1,2,4,5,7,9,10,12,13,15,17,18,20,21,23,24,24
E01000209,0,0,1,1,1,1,2,2,2,2,2,3,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20
E01000210,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,5,6,7,7,8,9,9,10,11,11
E01000211,0,0,0,1,1,1,1,1,1,1,1,3,4,5,7,8,9,10,12,13,14,15,17,18,19,21,21
E01000212,0,1,1,2,2,3,3,4,4,4,4,7,9,11,13,15,17,19,21,23,25,27,29,31,33,36,36
E01000213,0,0,0,0,0,0,0,0,1,1,1,2,3,5,6,8,9,10,12,13,15,16,17,19,20,21,21
E01000214,0,2,3,4,5,5,6,7,8,9,9,12,15,18,21,24,27,30,33,36,39,41,44,47,50,53,54
E01000215,0,0,1,1,1,1,1,2,2,2,2,4,6,8,10,12,14,17,19,21,23,25,27,29,31,33,33
E01000216,0,1,1,2,2,2,3,3,3,4,4,5,6,8,9,11,12,13,15,16,17,19,20,21,23,24,25
E01000217,0,1,1,1,2,2,2,3,3,3,3,6,9,12,15,18,21,23,26,29,32,35,37,40,43,46,46
E01000218,0,1,1,1,2,2,2,3,3,3,3,5,7,9,11,12,14,16,17,19,20,21,23,24,26,27,27
E01000219,0,1,2,3,3,4,4,5,6,6,7,11,15,19,23,27,31,35,39,43,48,51,55,59,63,67,68
E01000220,0,1,2,2,3,3,4,5,6,6,6,9,12,14,17,20,22,25,27,30,33,35,38,40,43,45,46
E01000221,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3
E01000222,0,0,0,0,0,0,1,1,1,1,1,2,4,6,7,9,11,13,14,16,18,19,21,23,24,26,26
E01000223,0,0,0,0,0,0,0,0,0,1,1,2,4,6,8,10,12,13,15,17,19,21,23,24,26,28,28
